Gene Id	Entrenz Id	FC	Replicon	Product	GO
gene21317	12317	-1,617,084,953	NC_000074.6	calreticulin	GO:0002376 GO:0006950 GO:0019882 GO:0048002 GO:0002474 GO:0048583 GO:0050896 GO:0033218 GO:0042277 GO:0005515 GO:0005488 GO:0009897 GO:0044421 GO:0009986 GO:0005737 GO:0031982 GO:0031410 GO:0005576 GO:0044464 GO:0005623 GO:0005794 GO:0044424 GO:0005622 GO:0042824 GO:0042824 GO:0042824 GO:0005658 GO:0005658 GO:0005658 GO:0043229 GO:0043226 
gene23291	270163	-1,579,934,195	NC_000075.6	myosin IXa	GO:0050896 GO:0016787 GO:0016817 GO:0005515 GO:0016462 GO:0016818 GO:0005488 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene26788	56193	-2,761,944,944	NC_000077.6	pleckstrin	GO:0006950 GO:0006950 GO:0006950 GO:0001562 GO:0001562 GO:0001562 GO:0048583 GO:0048583 GO:0048583 GO:0006959 GO:0006959 GO:0006959 GO:0050896 GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 
gene29399	105243657	-1,161,082,657	NC_000077.6	lncRNA	
gene35217	105670	-2,449,410,643	NC_000080.6	protein_coding	
gene28582	319371	-0.977072796	NC_000077.6	lncRNA	
gene7850	99890	-2,545,273,977	NC_000069.6	protein arginine N-methyltransferase 6	GO:0006950 GO:0050896 GO:0005515 GO:0005488 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene14047	338523	-1,838,914,302	NC_000072.6	jumonji C domain-containing histone demethylase 1 homolog D (S. cerevisiae)	GO:0005515 GO:0005488 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene27825	54351	-0.985735411	NC_000077.6	elongator acetyltransferase complex subunit 5	GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene31060	74190	-2,873,987,271	NC_000078.6	protein_coding	
gene11132	105244703	-0.994652759	NC_000071.6	lncRNA	
gene920	52231	-1,188,266,055	NC_000067.6	ankyrin repeat and zinc finger domain containing 1	GO:0005488 
gene20504	71082	-1,054,882,336	NC_000074.6	lncRNA	
gene9880	230654	-171,549,871	NC_000070.6	protein_coding	
gene34851	102635191	-1,528,250,477	NC_000080.6	lncRNA	
gene28167	18126	-5,269,351,229	NC_000077.6	nitric oxide synthase 2, inducible	GO:0045087 GO:0002376 GO:0006955 GO:0034341 GO:0006952 GO:0071346 GO:0006950 GO:0034097 GO:0071345 GO:0051707 GO:0009607 GO:0050896 GO:0005515 GO:0005488 GO:0044421 GO:0005737 GO:0031982 GO:0005576 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene23190	244895	-3,034,239,748	NC_000075.6	RIKEN cDNA C230081A13 gene	GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene12500	100503185	-1,135,668,105	NC_000071.6	BTB (POZ) domain containing 8	GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene30583	105244978	-1,204,021,592	NC_000078.6	lncRNA	
gene14075	23845	-4,860,193,091	NC_000072.6	C-type lectin domain family 5, member a	GO:0045087 GO:0002376 GO:0006955 GO:0006952 GO:0006950 GO:0050896 GO:0005515 GO:0005488 GO:0009986 GO:0044464 GO:0005623 
gene29341	102640588	-160,090,562	NC_000077.6	lncRNA	
gene17251	414069	-1,321,498,666	NC_000073.6	protein_coding	
gene40354	108168339	-1,074,562,116	NC_000083.6	lncRNA	
gene11633	74364	-1,564,329,352	NC_000071.6	lncRNA	
gene17186	654804	-1,002,524,121	NC_000073.6	lncRNA	
gene31614	110067	-1,762,763,609	NC_000079.6	other	
gene7451	56772	-1,003,701,848	NC_000069.6	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 11	GO:0048583 GO:0050896 GO:0044464 GO:0005623 GO:0005622 
gene37875	102638211	-1,800,688,313	NC_000082.6	lncRNA	
gene17940	56734	-0.885504654	NC_000073.6	tubby-like protein 2	GO:0016787 GO:0005737 GO:0005576 GO:0044464 GO:0005623 GO:0044424 GO:0005622 
gene890	319651	-0.911063001	NC_000067.6	ubiquitin specific peptidase 37	GO:0016787 GO:0005515 GO:0005488 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene42780	12495	-1,913,650,037	NC_000085.6	ectonucleoside triphosphate diphosphohydrolase 1	GO:0006950 GO:0050896 GO:0016787 GO:0016817 GO:0016462 GO:0016818 GO:0005488 GO:0044421 GO:0005576 
gene39121	353502	-1,110,026,998	NC_000083.6	host cell factor C1 regulator 1 (XPO1-dependent)	GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene16172	16439	-161,784,198	NC_000072.6	inositol 1,4,5-triphosphate receptor 2	GO:0006950 GO:0050896 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene38350	105246140	-3,168,204,595	NC_000082.6	lncRNA	
gene39569	16913	-2,798,940,143	NC_000083.6	proteasome (prosome, macropain) subunit, beta type 8 (large multifunctional peptidase 7)	GO:0002376 GO:0002376 GO:0002376 GO:0006955 GO:0006955 GO:0006955 GO:0019882 GO:0019882 GO:0019882 GO:0034097 GO:0034097 GO:0034097 GO:0016787 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene26676	56012	-1,241,014,353	NC_000077.6	phosphoglycerate mutase 2	GO:0050896 GO:0016787 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene37420	106205	-1,018,543,687	NC_000082.6	protein_coding	
gene6451	105247013	-1,966,290,963	NC_000069.6	lncRNA	
gene30518	67963	-1,059,628,096	NC_000078.6	Niemann Pick type C2	GO:0005515 GO:0005488 GO:0000323 GO:0005764 GO:0005773 GO:0005737 GO:0005576 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene10494	12259	-3,625,972,028	NC_000070.6	complement component 1, q subcomponent, alpha polypeptide	GO:0045087 GO:0002376 GO:0006955 GO:0006952 GO:0006950 GO:0002252 GO:0002682 GO:0002449 GO:0002449 GO:0002449 GO:0035458 GO:0035458 GO:0035458 GO:0002443 GO:0002443 GO:0002443 GO:0002460 GO:0002460 GO:0002460 GO:0002460 GO:0002250 GO:0050776 GO:0002684 GO:0002455 GO:0050778 GO:0050778 GO:0050778 GO:0048583 GO:0048583 GO:0048583 GO:0048583 GO:0006959 GO:0006959 GO:0006959 GO:0009607 GO:0009607 GO:0009607 GO:0050896 GO:0006956 GO:0005515 GO:0005488 GO:0044421 GO:0005576 
gene13869	56463	-1,367,944,206	NC_000072.6	staphylococcal nuclease and tudor domain containing 1	GO:0016787 GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene19506	105243053	-1,229,650,751	NC_000073.6	lncRNA	
gene30799	102632708	-1,665,933,929	NC_000078.6	lncRNA	
gene23283	73893	-243,399,396	NC_000075.6	protein_coding	
gene25815	27204	-0.989146983	NC_000076.6	synapsin III	GO:0005488 GO:0005737 GO:0031982 GO:0031410 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene17935	20174	-1,504,949,424	NC_000073.6	RuvB-like protein 2	GO:0006950 GO:0050896 GO:0016787 GO:0016787 GO:0016787 GO:0033218 GO:0033218 GO:0033218 GO:0016817 GO:0016817 GO:0016817 GO:0003823 GO:0003823 GO:0003823 GO:0005515 GO:0016462 GO:0016462 GO:0016462 GO:0016818 GO:0016818 GO:0016818 GO:0016818 GO:0016818 GO:0016818 GO:0005488 GO:0005488 GO:0005488 GO:0005488 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene16099	28254	-1,739,038,018	NC_000072.6	solute carrier organic anion transporter family, member 1a6	GO:0044464 GO:0005623 
gene42938	18034	-1,116,631,744	NC_000085.6	nuclear factor of kappa light polypeptide gene enhancer in B cells 2, p49/p100	GO:0002376 GO:0006955 GO:0002460 GO:0002460 GO:0002460 GO:0035456 GO:0035456 GO:0035456 GO:0002250 GO:0002250 GO:0002250 GO:0050776 GO:0050776 GO:0050776 GO:0050896 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene15862	71183	-0.932685068	NC_000072.6	C-type lectin domain family 12, member B	GO:0005488 GO:0044464 GO:0005623 
gene27859	66102	-1,664,118,023	NC_000077.6	chemokine (C-X-C motif) ligand 16	GO:0045087 GO:0002376 GO:0006955 GO:0034341 GO:0006952 GO:0006950 GO:0034097 GO:0050896 GO:0005515 GO:0005488 GO:0044421 GO:0005576 
gene28446	73922	-0.991494025	NC_000077.6	lncRNA	
gene12608	100504049	-0.963721567	NC_000071.6	misc_RNA	
gene30433	217684	-2,205,917,802	NC_000078.6	protein_coding	
gene15732	102635223	-1,420,810,961	NC_000072.6	lncRNA	
gene7734	105244522	-1,461,590,456	NC_000069.6	lncRNA	
gene27354	102632992	-2,409,591,491	NC_000077.6	lncRNA	
gene26839	216549	-2,600,731,945	NC_000077.6	aftiphilin	GO:0005515 GO:0005488 GO:0005737 GO:0031982 GO:0031410 GO:0044464 GO:0005623 GO:0005794 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene7232	545539	-1,317,347,438	NC_000069.6	lncRNA	
gene38769	23984	-1,066,641,657	NC_000083.6	phosphodiesterase 10A	GO:0048583 GO:0050896 GO:0016787 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 
gene39130	224613	-0.937411838	NC_000083.6	FLYWCH-type zinc finger 1	GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene19957	13033	-2,095,905,942	NC_000073.6	cathepsin D	GO:0006950 GO:0050896 GO:0016787 GO:0033218 GO:0042277 GO:0005488 GO:0044421 GO:0000323 GO:0005764 GO:0005773 GO:0005737 GO:0005576 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene7211	102636781	-0.936696278	NC_000069.6	lncRNA	
gene44436	18968	-1,191,829,194	NC_000086.7	polymerase (DNA directed), alpha 1	GO:0006950 GO:0050896 GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0005658 GO:0005658 GO:0005658 GO:0043229 GO:0043229 GO:0043229 GO:0043229 GO:0043226 
gene18125	20430	-0.914589471	NC_000073.6	cytoplasmic FMR1 interacting protein 1	GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 
gene22649	105243376	-1,698,268,454	NC_000075.6	lncRNA	
gene10402	102631939	-1,384,447,351	NC_000070.6	lncRNA	
gene38123	100503490	-4,636,538,253	NC_000082.6	lncRNA	
gene6241	16196	-2,180,284,026	NC_000069.6	interleukin 7	GO:0002376 GO:0006955 GO:0002682 GO:0002684 GO:0050896 GO:0005515 GO:0005488 GO:0044421 GO:0005576 
gene765	70861	-2,849,610,379	NC_000067.6	protein_coding	
gene18122	105242944	-2,094,241,501	NC_000073.6	lncRNA	
gene10443	12399	-3,324,115,063	NC_000070.6	runt related transcription factor 3	GO:0050896 GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene11830	666405	-0.981384693	NC_000071.6	pseudogene	
gene37921	547253	-2,155,987,991	NC_000082.6	poly (ADP-ribose) polymerase family, member 14	GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene8659	102633477	-1,708,801,324	NC_000070.6	lncRNA	
gene10419	105247183	-2,559,620,213	NC_000070.6	lncRNA	
gene38817	104103	-1,208,757,182	NC_000083.6	lncRNA	
gene35714	23880	-2,642,402,284	NC_000081.6	FYN binding protein	GO:0002376 GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene36610	109361	-1,880,901,547	NC_000081.6	lncRNA	
gene30030	544864	-1,974,414,393	NC_000078.6	protein_coding	
gene40783	76482	-0.934478761	NC_000084.6	protein_coding	
gene10363	102640565	-153,112,256	NC_000070.6	lncRNA	
gene36166	105245954	-1,192,739,894	NC_000081.6	lncRNA	
gene41601	102632177	-1,884,334,411	NC_000084.6	lncRNA	
gene28076	100417031	-4,121,760,247	NC_000077.6	pseudogene	
gene30314	18755	-2,134,036,581	NC_000078.6	protein kinase C, eta	GO:0002376 GO:0006955 GO:0002682 GO:0050776 GO:0002684 GO:0050778 GO:0048583 GO:0050896 GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 
gene27186	432555	-4,571,395,072	NC_000077.6	protein_coding	
gene21288	244550	-0.994864626	NC_000074.6	podocan-like 1	GO:0044421 GO:0005576 
gene17468	18301	-2,417,642,851	NC_000073.6	FXYD domain-containing ion transport regulator 5	GO:0005515 GO:0005488 
gene6718	102632669	-1,406,709,343	NC_000069.6	lncRNA	
gene43049	102634055	-2,249,810,081	NC_000085.6	lncRNA	
gene21077	234404	-3,474,556,728	NC_000074.6	nucleoredoxin-like 1	GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene45236	24061	-1,248,402,081	NC_000086.7	structural maintenance of chromosomes 1A	GO:0006950 GO:0050896 GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene27045	319208	-3,522,374,732	NC_000077.6	lncRNA	
gene35214	668489	-1,453,353,461	NC_000080.6	misc_RNA	
gene15551	74471	-1,186,338,541	NC_000072.6	protein_coding	
gene36522	17886	-176,374,495	NC_000081.6	myosin, heavy polypeptide 9, non-muscle	GO:0002376 GO:0016787 GO:0016817 GO:0005515 GO:0016462 GO:0016818 GO:0005488 GO:0005737 GO:0031982 GO:0031410 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene35629	78312	-1,476,079,294	NC_000080.6	lncRNA	
gene20237	234094	-2,011,895,269	NC_000074.6	Rho guanine nucleotide exchange factor (GEF) 10	GO:0048583 GO:0050896 GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene22456	101055759	-2,232,132,314	NC_000075.6	lncRNA	
gene40523	108168338	-0.851473951	NC_000083.6	lncRNA	
gene26373	216441	-1,461,594,401	NC_000076.6	protein_coding	
gene28486	268465	-0.882161592	NC_000077.6	essential meiotic endonuclease 1 homolog 1 (S. pombe)	GO:0006950 GO:0050896 GO:0016787 GO:0005488 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene25299	102634888	-4,512,359,606	NC_000076.6	lncRNA	
gene12685	20345	-3,027,111,337	NC_000071.6	selectin, platelet (p-selectin) ligand	GO:0002376 GO:0005515 GO:0005488 GO:0044464 GO:0005623 
gene34985	71000	-13,694,684	NC_000080.6	lncRNA	
gene29293	100126224	-1,009,376,871	NC_000077.6	lncRNA	
gene42532	102637351	-1,540,938,188	NC_000085.6	lncRNA	
gene10254	17357	-302,657,414	NC_000070.6	MARCKS-like 1	GO:0005515 GO:0005488 GO:0044464 GO:0005623 
gene19961	677289	-0.825181766	NC_000073.6	lncRNA	
gene29550	102637427	-1,209,970,942	NC_000078.6	lncRNA	
gene28170	790910	-1,222,546,537	NC_000077.6	lncRNA	
gene42044	100502985	-1,446,576,042	NC_000085.6	lncRNA	
gene11301	14190	-344,900,451	NC_000071.6	fibrinogen-like protein 2	GO:0050896 GO:0005515 GO:0005488 GO:0044421 GO:0005576 
gene7199	105244494	-113,232,184	NC_000069.6	lncRNA	
gene36563	102632234	-1,233,596,454	NC_000081.6	lncRNA	
gene39916	27226	-3,413,414,827	NC_000083.6	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	GO:0002376 GO:0006952 GO:0006950 GO:0002682 GO:0002684 GO:0048583 GO:0050896 GO:0016787 GO:0005488 GO:0044421 GO:0005576 
gene2651	102633622	-1,253,994,406	NC_000067.6	lncRNA	
gene16913	11816	-170,551,652	NC_000073.6	apolipoprotein E	GO:0006952 GO:0006950 GO:0048583 GO:0050896 GO:0033218 GO:0042277 GO:0005515 GO:0005488 GO:0009897 GO:0044421 GO:0009986 GO:0005737 GO:0005576 GO:0005770 GO:0044464 GO:0005623 GO:0005794 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene37991	76916	-24,663,219	NC_000082.6	translocase of inner mitochondrial membrane domain containing 1	GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene32264	16468	-1,001,156,418	NC_000079.6	jumonji, AT rich interactive domain 2	GO:0002376 GO:0005515 GO:0005488 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene18652	108167446	-182,811,567	NC_000073.6	lncRNA	
gene41452	225594	-3,897,882,917	NC_000084.6	protein_coding	
gene44567	16186	-4,450,059,045	NC_000086.7	interleukin 2 receptor, gamma chain	GO:0002376 GO:0002682 GO:0002684 GO:0002684 GO:0002684 GO:0002483 GO:0002483 GO:0002483 GO:0005515 GO:0005488 GO:0009897 GO:0009986 GO:0009986 GO:0009986 GO:0005773 GO:0005773 GO:0005773 GO:0044464 GO:0005623 
gene27232	102640447	-1,803,666,423	NC_000077.6	lncRNA	
gene23087	69253	-1,305,195,062	NC_000075.6	heat shock protein 2	GO:0006950 GO:0050896 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene37970	105246110	-0.910120883	NC_000082.6	lncRNA	
gene39377	105246245	-1,067,332,041	NC_000083.6	lncRNA	
gene25176	108167812	-1,027,574,616	NC_000076.6	lncRNA	
gene20945	110877	-1,215,109,202	NC_000074.6	solute carrier family 18 (vesicular monoamine), member 1	GO:0050896 GO:0005515 GO:0005488 GO:0005737 GO:0031982 GO:0031410 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene14349	16205	-1,323,803,993	NC_000072.6	GTPase, IMAP family member 1	GO:0002376 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene35950	105245912	-1,208,650,401	NC_000081.6	lncRNA	
gene12452	100702	-389,840,847	NC_000071.6	guanylate binding protein 6	GO:0045087 GO:0002376 GO:0006955 GO:0034341 GO:0034341 GO:0034341 GO:0006952 GO:0006952 GO:0006952 GO:0006952 GO:0071346 GO:0071346 GO:0071346 GO:0042832 GO:0042832 GO:0042832 GO:0042832 GO:0042832 GO:0042832 GO:0006950 GO:0006950 GO:0006950 GO:0006950 GO:0001562 GO:0001562 GO:0001562 GO:0019882 GO:0019882 GO:0019882 GO:0034097 GO:0051856 GO:0051825 GO:0071345 GO:0035458 GO:0035456 GO:0051702 GO:0051707 GO:0009607 GO:0050896 GO:0050830 GO:0033655 GO:0033655 GO:0033655 GO:0030430 GO:0030430 GO:0030430 GO:0030430 GO:0030430 GO:0030430 GO:0020003 GO:0020003 GO:0020003 GO:0020003 GO:0020003 GO:0020003 GO:0033646 GO:0033646 GO:0033646 GO:0033646 GO:0033646 GO:0033646 GO:0043656 GO:0043656 GO:0043656 GO:0043656 GO:0043656 GO:0043656 GO:0043245 GO:0043245 GO:0043245 GO:0043245 GO:0043245 GO:0043245 GO:0044216 GO:0044216 GO:0044216 GO:0044216 GO:0044216 GO:0044216 GO:0033643 GO:0033643 GO:0033643 GO:0033643 GO:0033643 GO:0033643 GO:0018995 GO:0018995 GO:0018995 GO:0018995 GO:0018995 GO:0018995 GO:0044217 GO:0044217 GO:0044217 GO:0044217 GO:0044217 GO:0044217 GO:0044215 GO:0044215 GO:0044215 GO:0044215 GO:0044215 GO:0044215 GO:0043657 GO:0043657 GO:0043657 GO:0043657 GO:0043657 GO:0043657 GO:0020005 GO:0020005 GO:0020005 GO:0020005 GO:0065010 GO:0065010 GO:0065010 GO:0043230 GO:0043230 GO:0043230 GO:0043230 GO:0043230 GO:0043230 GO:0042611 GO:0042611 GO:0042611 GO:0044421 GO:0005737 GO:0031982 GO:0031410 GO:0005576 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene15500	352968	-1,193,812,292	NC_000072.6	misc_RNA	
gene15751	20276	-1,322,842,562	NC_000072.6	sodium channel, nonvoltage-gated 1 alpha	GO:0050896 GO:0005515 GO:0005488 GO:0009897 GO:0009986 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene29062	100036768	-1,063,786,799	NC_000077.6	lncRNA	
gene32424	102635967	-1,274,891,096	NC_000079.6	lncRNA	
gene36431	108168258	-2,066,397,548	NC_000081.6	lncRNA	
gene43246	54638	-1,883,591,085	NC_000086.7	coiled-coil domain containing 22	GO:0005515 GO:0005488 
gene27509	74476	-1,993,352,106	NC_000077.6	lncRNA	
gene36449	106025	-2,503,343,175	NC_000081.6	SHANK-associated RH domain interacting protein	GO:0006952 GO:0006950 GO:0034097 GO:0071345 GO:0048583 GO:0050896 GO:0005515 GO:0005488 GO:0005737 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene37542	224020	-1,048,905,221	NC_000082.6	phosphatidylinositol 4-kinase, catalytic, alpha polypeptide	GO:0005737 GO:0031982 GO:0031410 GO:0044464 GO:0005623 GO:0005794 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene13715	100036521	-1,292,339,732	NC_000072.6	protein_coding	
gene9368	19266	-0.875477874	NC_000070.6	protein tyrosine phosphatase, receptor type, D	GO:0016787 GO:0005515 GO:0005488 
gene1658	12654	-1,153,029,235	NC_000067.6	chitinase 3-like 1	GO:0048583 GO:0050896 GO:0016787 GO:0005488 GO:0044421 GO:0005737 GO:0005576 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene33481	105245646	-2,392,312,756	NC_000079.6	lncRNA	
gene1543	210417	-0.921611349	NC_000067.6	protein_coding	
gene16915	105242864	-0.910331933	NC_000073.6	lncRNA	
gene14041	105242415	-1,884,028,634	NC_000072.6	lncRNA	
gene12447	236573	-2,575,235,408	NC_000071.6	guanylate-binding protein 9	GO:0045087 GO:0002376 GO:0006955 GO:0034341 GO:0006952 GO:0071346 GO:0042832 GO:0006950 GO:0001562 GO:0034097 GO:0051856 GO:0051825 GO:0071345 GO:0051702 GO:0051707 GO:0009607 GO:0050896 GO:0050830 GO:0033655 GO:0030430 GO:0020003 GO:0033646 GO:0043656 GO:0043245 GO:0044216 GO:0033643 GO:0018995 GO:0044217 GO:0044215 GO:0043657 GO:0020005 GO:0065010 GO:0043230 GO:0044421 GO:0005737 GO:0031982 GO:0031410 GO:0005576 GO:0044464 GO:0005623 GO:0044424 GO:0005622 GO:0043229 GO:0043226 
gene14080	21577	-1,197,347,614	NC_000072.6	other	

